"","CK07","CK08","CK09","CK10","CK11","CK12","D01A1","D01A2","D01A3","D01A4","D01A5","D01A6","D02A1","D02A2","D02A3","D02A4","D02A5","D02A6","D03A1","D03A2","D03A3","D03A4","D03A5","D03A6","D04A1","D04A2","D04A3","D04A4","D04A5","D04A6","D05A1","D05A2","D05A3","D05A4","D05A5","D05A6","D06A1","D06A2","D06A3","D06A4","D06A5","D06A6","D07A1","D07A2","D07A3","D07A4","D07A5","D07A6","D08A1","D08A2","D08A3","D08A4","D08A5","D08A6","D09A1","D09A2","D09A3","D09A4","D09A5","D09A6","D10A1","D10A2","D10A3","D10A4","D10A5","D10A6","D11A1","D11A2","D11A3","D11A4","D11A5","D11A6","D12A1","D12A2","D12A3","D12A4","D12A5","D12A6","D01B1","D01B2","D01B3","D01B4","D01B5","D01B6","D02B1","D02B2","D02B3","D02B4","D02B5","D02B6","D03B1","D03B2","D03B3","D03B4","D03B5","D03B6","D04B1","D04B2","D04B3","D04B4","D04B5","D04B6","D05B1","D05B2","D05B3","D05B4","D05B5","D05B6","D06B1","D06B2","D06B3","D06B4","D06B5","D06B6","D07B1","D07B2","D07B3","D07B4","D07B5","D07B6","D08B1","D08B2","D08B3","D08B4","D08B5","D08B6","D09B1","D09B2","D09B3","D09B4","D09B5","D09B6","D10B1","D10B2","D10B3","D10B4","D10B5","D10B6","D11B1","D11B2","D11B3","D11B4","D11B5","D11B6","D12B1","D12B2","D12B3","D12B4","D12B5","D12B6"
"29331-92-8",0,0,0,0,0,0,5.2,5.2,5.2,5.2,5.2,5.2,6.3,6.3,6.3,6.3,6.3,6.3,5.1,5.1,5.1,5.1,5.1,5.1,2.9,2.9,2.9,2.9,2.9,2.9,4.1,4.1,4.1,4.1,4.1,4.1,5.3,5.3,5.3,5.3,5.3,5.3,3.4,3.4,3.4,3.4,3.4,3.4,6.1,6.1,6.1,6.1,6.1,6.1,3.2,3.2,3.2,3.2,3.2,3.2,6.2,6.2,6.2,6.2,6.2,6.2,0,0,0,0,0,0,4.2,4.2,4.2,4.2,4.2,4.2,5.2,5.2,5.2,5.2,5.2,5.2,6.3,6.3,6.3,6.3,6.3,6.3,5.1,5.1,5.1,5.1,5.1,5.1,2.9,2.9,2.9,2.9,2.9,2.9,4.1,4.1,4.1,4.1,4.1,4.1,5.3,5.3,5.3,5.3,5.3,5.3,3.4,3.4,3.4,3.4,3.4,3.4,6.1,6.1,6.1,6.1,6.1,6.1,3.2,3.2,3.2,3.2,3.2,3.2,6.2,6.2,6.2,6.2,6.2,6.2,0,0,0,0,0,0,4.2,4.2,4.2,4.2,4.2,4.2
"58955-93-4",0,0,0,0,0,0,29.7,29.7,29.7,29.7,29.7,29.7,30.8,30.8,30.8,30.8,30.8,30.8,23.7,23.7,23.7,23.7,23.7,23.7,20.6,20.6,20.6,20.6,20.6,20.6,34,34,34,34,34,34,39.5,39.5,39.5,39.5,39.5,39.5,31.9,31.9,31.9,31.9,31.9,31.9,43.7,43.7,43.7,43.7,43.7,43.7,30,30,30,30,30,30,47.2,47.2,47.2,47.2,47.2,47.2,0,0,0,0,0,0,42.5,42.5,42.5,42.5,42.5,42.5,29.7,29.7,29.7,29.7,29.7,29.7,30.8,30.8,30.8,30.8,30.8,30.8,23.7,23.7,23.7,23.7,23.7,23.7,20.6,20.6,20.6,20.6,20.6,20.6,34,34,34,34,34,34,39.5,39.5,39.5,39.5,39.5,39.5,31.9,31.9,31.9,31.9,31.9,31.9,43.7,43.7,43.7,43.7,43.7,43.7,30,30,30,30,30,30,47.2,47.2,47.2,47.2,47.2,47.2,0,0,0,0,0,0,42.5,42.5,42.5,42.5,42.5,42.5
"95-14-7",0,0,0,0,0,0,77.1,77.1,77.1,77.1,77.1,77.1,48.4,48.4,48.4,48.4,48.4,48.4,28.5,28.5,28.5,28.5,28.5,28.5,15.6,15.6,15.6,15.6,15.6,15.6,68.3,68.3,68.3,68.3,68.3,68.3,48.7,48.7,48.7,48.7,48.7,48.7,47.3,47.3,47.3,47.3,47.3,47.3,56.7,56.7,56.7,56.7,56.7,56.7,41.3,41.3,41.3,41.3,41.3,41.3,53.6,53.6,53.6,53.6,53.6,53.6,0,0,0,0,0,0,67.9,67.9,67.9,67.9,67.9,67.9,77.1,77.1,77.1,77.1,77.1,77.1,48.4,48.4,48.4,48.4,48.4,48.4,28.5,28.5,28.5,28.5,28.5,28.5,15.6,15.6,15.6,15.6,15.6,15.6,68.3,68.3,68.3,68.3,68.3,68.3,48.7,48.7,48.7,48.7,48.7,48.7,47.3,47.3,47.3,47.3,47.3,47.3,56.7,56.7,56.7,56.7,56.7,56.7,41.3,41.3,41.3,41.3,41.3,41.3,53.6,53.6,53.6,53.6,53.6,53.6,0,0,0,0,0,0,67.9,67.9,67.9,67.9,67.9,67.9
"615-22-5",0,0,0,0,0,0,4.1,4.1,4.1,4.1,4.1,4.1,1.7,1.7,1.7,1.7,1.7,1.7,1.5,1.5,1.5,1.5,1.5,1.5,1.7,1.7,1.7,1.7,1.7,1.7,2.9,2.9,2.9,2.9,2.9,2.9,2.3,2.3,2.3,2.3,2.3,2.3,2.7,2.7,2.7,2.7,2.7,2.7,0,0,0,0,0,0,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2.6,2.6,2.6,2.6,2.6,2.6,4.1,4.1,4.1,4.1,4.1,4.1,1.7,1.7,1.7,1.7,1.7,1.7,1.5,1.5,1.5,1.5,1.5,1.5,1.7,1.7,1.7,1.7,1.7,1.7,2.9,2.9,2.9,2.9,2.9,2.9,2.3,2.3,2.3,2.3,2.3,2.3,2.7,2.7,2.7,2.7,2.7,2.7,0,0,0,0,0,0,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2.6,2.6,2.6,2.6,2.6,2.6
"941-57-1",0,0,0,0,0,0,119.1,119.1,119.1,119.1,119.1,119.1,119.1,119.1,119.1,119.1,119.1,119.1,56.6,56.6,56.6,56.6,56.6,56.6,32.1,32.1,32.1,32.1,32.1,32.1,116.5,116.5,116.5,116.5,116.5,116.5,63.8,63.8,63.8,63.8,63.8,63.8,66.5,66.5,66.5,66.5,66.5,66.5,70.9,70.9,70.9,70.9,70.9,70.9,44.9,44.9,44.9,44.9,44.9,44.9,44.4,44.4,44.4,44.4,44.4,44.4,4.4,4.4,4.4,4.4,4.4,4.4,96.4,96.4,96.4,96.4,96.4,96.4,119.1,119.1,119.1,119.1,119.1,119.1,119.1,119.1,119.1,119.1,119.1,119.1,56.6,56.6,56.6,56.6,56.6,56.6,32.1,32.1,32.1,32.1,32.1,32.1,116.5,116.5,116.5,116.5,116.5,116.5,63.8,63.8,63.8,63.8,63.8,63.8,66.5,66.5,66.5,66.5,66.5,66.5,70.9,70.9,70.9,70.9,70.9,70.9,44.9,44.9,44.9,44.9,44.9,44.9,44.4,44.4,44.4,44.4,44.4,44.4,4.4,4.4,4.4,4.4,4.4,4.4,96.4,96.4,96.4,96.4,96.4,96.4
"68011-66-5",0,0,0,0,0,0,4.6,4.6,4.6,4.6,4.6,4.6,3,3,3,3,3,3,4.2,4.2,4.2,4.2,4.2,4.2,2.2,2.2,2.2,2.2,2.2,2.2,5.7,5.7,5.7,5.7,5.7,5.7,5.1,5.1,5.1,5.1,5.1,5.1,4.8,4.8,4.8,4.8,4.8,4.8,6.4,6.4,6.4,6.4,6.4,6.4,3.8,3.8,3.8,3.8,3.8,3.8,6.9,6.9,6.9,6.9,6.9,6.9,0,0,0,0,0,0,6.6,6.6,6.6,6.6,6.6,6.6,4.6,4.6,4.6,4.6,4.6,4.6,3,3,3,3,3,3,4.2,4.2,4.2,4.2,4.2,4.2,2.2,2.2,2.2,2.2,2.2,2.2,5.7,5.7,5.7,5.7,5.7,5.7,5.1,5.1,5.1,5.1,5.1,5.1,4.8,4.8,4.8,4.8,4.8,4.8,6.4,6.4,6.4,6.4,6.4,6.4,3.8,3.8,3.8,3.8,3.8,3.8,6.9,6.9,6.9,6.9,6.9,6.9,0,0,0,0,0,0,6.6,6.6,6.6,6.6,6.6,6.6
"94-75-7",0,0,0,0,0,0,1.6,1.6,1.6,1.6,1.6,1.6,0,0,0,0,0,0,1.4,1.4,1.4,1.4,1.4,1.4,1.5,1.5,1.5,1.5,1.5,1.5,1.6,1.6,1.6,1.6,1.6,1.6,1.4,1.4,1.4,1.4,1.4,1.4,1.5,1.5,1.5,1.5,1.5,1.5,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0,0,0,0,0,0,1.6,1.6,1.6,1.6,1.6,1.6,0,0,0,0,0,0,1.4,1.4,1.4,1.4,1.4,1.4,1.5,1.5,1.5,1.5,1.5,1.5,1.6,1.6,1.6,1.6,1.6,1.6,1.4,1.4,1.4,1.4,1.4,1.4,1.5,1.5,1.5,1.5,1.5,1.5,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0,0,0,0,0,0
"51-28-5",0,0,0,0,0,0,5.6,5.6,5.6,5.6,5.6,5.6,7.5,7.5,7.5,7.5,7.5,7.5,3.5,3.5,3.5,3.5,3.5,3.5,4.1,4.1,4.1,4.1,4.1,4.1,7.7,7.7,7.7,7.7,7.7,7.7,4,4,4,4,4,4,4.9,4.9,4.9,4.9,4.9,4.9,4.6,4.6,4.6,4.6,4.6,4.6,4.3,4.3,4.3,4.3,4.3,4.3,0,0,0,0,0,0,3.2,3.2,3.2,3.2,3.2,3.2,5.2,5.2,5.2,5.2,5.2,5.2,5.6,5.6,5.6,5.6,5.6,5.6,7.5,7.5,7.5,7.5,7.5,7.5,3.5,3.5,3.5,3.5,3.5,3.5,4.1,4.1,4.1,4.1,4.1,4.1,7.7,7.7,7.7,7.7,7.7,7.7,4,4,4,4,4,4,4.9,4.9,4.9,4.9,4.9,4.9,4.6,4.6,4.6,4.6,4.6,4.6,4.3,4.3,4.3,4.3,4.3,4.3,0,0,0,0,0,0,3.2,3.2,3.2,3.2,3.2,3.2,5.2,5.2,5.2,5.2,5.2,5.2
"136-85-6",0,0,0,0,0,0,75.2,75.2,75.2,75.2,75.2,75.2,32.3,32.3,32.3,32.3,32.3,32.3,19.8,19.8,19.8,19.8,19.8,19.8,11.1,11.1,11.1,11.1,11.1,11.1,57.5,57.5,57.5,57.5,57.5,57.5,28.5,28.5,28.5,28.5,28.5,28.5,33,33,33,33,33,33,42.6,42.6,42.6,42.6,42.6,42.6,35.9,35.9,35.9,35.9,35.9,35.9,50.3,50.3,50.3,50.3,50.3,50.3,0,0,0,0,0,0,65.5,65.5,65.5,65.5,65.5,65.5,75.2,75.2,75.2,75.2,75.2,75.2,32.3,32.3,32.3,32.3,32.3,32.3,19.8,19.8,19.8,19.8,19.8,19.8,11.1,11.1,11.1,11.1,11.1,11.1,57.5,57.5,57.5,57.5,57.5,57.5,28.5,28.5,28.5,28.5,28.5,28.5,33,33,33,33,33,33,42.6,42.6,42.6,42.6,42.6,42.6,35.9,35.9,35.9,35.9,35.9,35.9,50.3,50.3,50.3,50.3,50.3,50.3,0,0,0,0,0,0,65.5,65.5,65.5,65.5,65.5,65.5
"33665-90-6",0,0,0,0,0,0,336,336,336,336,336,336,333.7,333.7,333.7,333.7,333.7,333.7,129.1,129.1,129.1,129.1,129.1,129.1,58.6,58.6,58.6,58.6,58.6,58.6,340.8,340.8,340.8,340.8,340.8,340.8,296.4,296.4,296.4,296.4,296.4,296.4,323.3,323.3,323.3,323.3,323.3,323.3,164,164,164,164,164,164,111.8,111.8,111.8,111.8,111.8,111.8,155.5,155.5,155.5,155.5,155.5,155.5,114.8,114.8,114.8,114.8,114.8,114.8,468.9,468.9,468.9,468.9,468.9,468.9,336,336,336,336,336,336,333.7,333.7,333.7,333.7,333.7,333.7,129.1,129.1,129.1,129.1,129.1,129.1,58.6,58.6,58.6,58.6,58.6,58.6,340.8,340.8,340.8,340.8,340.8,340.8,296.4,296.4,296.4,296.4,296.4,296.4,323.3,323.3,323.3,323.3,323.3,323.3,164,164,164,164,164,164,111.8,111.8,111.8,111.8,111.8,111.8,155.5,155.5,155.5,155.5,155.5,155.5,114.8,114.8,114.8,114.8,114.8,114.8,468.9,468.9,468.9,468.9,468.9,468.9
"1912-24-9",0,0,0,0,0,0,2,2,2,2,2,2,2.1,2.1,2.1,2.1,2.1,2.1,0.9,0.9,0.9,0.9,0.9,0.9,1,1,1,1,1,1,1.7,1.7,1.7,1.7,1.7,1.7,1.5,1.5,1.5,1.5,1.5,1.5,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.6,1.6,1.6,1.6,1.6,1.6,2.8,2.8,2.8,2.8,2.8,2.8,0,0,0,0,0,0,3.3,3.3,3.3,3.3,3.3,3.3,2,2,2,2,2,2,2.1,2.1,2.1,2.1,2.1,2.1,0.9,0.9,0.9,0.9,0.9,0.9,1,1,1,1,1,1,1.7,1.7,1.7,1.7,1.7,1.7,1.5,1.5,1.5,1.5,1.5,1.5,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.6,1.6,1.6,1.6,1.6,1.6,2.8,2.8,2.8,2.8,2.8,2.8,0,0,0,0,0,0,3.3,3.3,3.3,3.3,3.3,3.3
